domain,model,variable,target_class,n,TP,FP,FN,F1,Wilson_lo,Wilson_hi,gate,CI_contains_gate,CI_excludes_gate_below,CI_excludes_gate_above
ECG,qwen2.5:7b,ecg_avblock,1,569,43,3,0,0.9663,0.9055,0.9885,0.9,False,False,True
ECG,qwen2.5:7b,ecg_bbb,1,570,41,4,4,0.9111,0.8343,0.9543,0.9,True,False,False
ECG,qwen2.5:7b,ecg_rate,1,570,39,1,9,0.8864,0.8033,0.9371,0.9,True,False,False
ECG,qwen2.5:7b,ecg_srirr,1,570,10,1,0,0.9524,0.7733,0.9915,0.9,True,False,False
ECG,qwen2.5:7b,ecg_axis,1,570,23,0,9,0.8364,0.7174,0.9114,0.9,True,False,False
ECG,qwen2.5:7b,ecg_qwave_mi,1,570,2,0,0,1.0,0.5101,1.0,0.9,True,False,False
ECG,qwen2.5:7b,ecg_other,1,570,3,0,37,0.1395,0.0656,0.2726,0.9,False,True,False
ECG,qwen2.5:7b,ecg_unreadable,1,570,29,1,15,0.7838,0.6773,0.8623,0.9,False,True,False
ECG,glm4:9b,ecg_normal,1,561,217,8,1,0.9797,0.9618,0.9893,0.9,False,False,True
ECG,glm4:9b,ecg_af,1,570,58,0,0,1.0,0.9679,1.0,0.9,False,False,True
ECG,glm4:9b,ecg_pac_pvc,1,570,28,0,0,1.0,0.9358,1.0,0.9,False,False,True
ECG,glm4:9b,ecg_stt,1,568,120,1,8,0.9639,0.9327,0.9809,0.9,False,False,True
ECG,glm4:9b,ecg_avblock,1,569,43,36,0,0.7049,0.6187,0.7786,0.9,False,True,False
ECG,glm4:9b,ecg_bbb,1,570,38,1,7,0.9048,0.8232,0.9509,0.9,True,False,False
ECG,glm4:9b,ecg_rate,1,570,38,4,10,0.8444,0.7557,0.905,0.9,True,False,False
ECG,glm4:9b,ecg_srirr,1,570,10,1,0,0.9524,0.7733,0.9915,0.9,True,False,False
ECG,glm4:9b,ecg_axis,1,570,25,11,7,0.7353,0.6199,0.8255,0.9,False,True,False
ECG,glm4:9b,ecg_qwave_mi,1,570,2,0,0,1.0,0.5101,1.0,0.9,True,False,False
ECG,glm4:9b,ecg_other,1,570,10,7,30,0.3509,0.24,0.4806,0.9,False,True,False
ECG,glm4:9b,ecg_unreadable,1,570,26,1,18,0.7324,0.6195,0.8215,0.9,False,True,False
ECHO,qwen2.5:14b,echo_lvh,1,298,28,3,0,0.9492,0.8608,0.9826,0.9,True,False,False
ECHO,qwen2.5:14b,echo_la_dilate,1,298,33,8,0,0.8919,0.8009,0.9442,0.9,True,False,False
ECHO,qwen2.5:14b,echo_normal,0,298,224,1,2,0.9933,0.9806,0.9977,0.9,False,False,True
ECHO,qwen2.5:14b,echo_variant,1,297,67,14,5,0.8758,0.8142,0.919,0.9,True,False,False
ECHO,qwen2.5:14b,ef_abnormal,1,298,15,0,0,1.0,0.8865,1.0,0.9,True,False,False
ECHO,qwen2.5:14b,reflux_grade,none,298,84,0,1,0.9941,0.9672,0.999,0.9,False,False,True
ECHO,qwen2.5:14b,reflux_grade,trace_mild,298,100,4,5,0.9569,0.9202,0.9772,0.9,False,False,True
ECHO,qwen2.5:14b,reflux_grade,moderate,298,99,6,6,0.9429,0.9028,0.967,0.9,False,False,True
ECHO,qwen2.5:14b,echo_unreadable,1,300,2,0,0,1.0,0.5101,1.0,0.9,True,False,False
ECHO,qwen2.5:7b,echo_lvh,1,298,27,3,1,0.931,0.8357,0.9729,0.9,True,False,False
ECHO,qwen2.5:7b,echo_la_dilate,1,298,24,2,9,0.8136,0.6962,0.8926,0.9,False,True,False
ECHO,qwen2.5:7b,echo_normal,0,298,223,1,3,0.9911,0.9774,0.9965,0.9,False,False,True
